action,split,file,reason,evidence_pairs
exclude,train,image1011.jpg,visually_confirmed_source_family_leakage_preserve_test,ND001
exclude,train,image102.jpg,visually_confirmed_source_family_leakage_preserve_test,ND022;ND023
exclude,train,image1025.jpg,visually_confirmed_source_family_leakage_preserve_test,ND024
exclude,train,image1038.jpg,visually_confirmed_source_family_leakage_preserve_test,ND025
exclude,train,image1047.jpg,visually_confirmed_source_family_leakage_preserve_test,ND002
exclude,train,image1048.jpg,visually_confirmed_source_family_leakage_preserve_test,ND003
exclude,train,image1050.jpg,visually_confirmed_source_family_leakage_preserve_test,ND004
exclude,train,image1066.jpg,visually_confirmed_source_family_leakage_preserve_test,ND026
exclude,train,image1073.jpg,visually_confirmed_source_family_leakage_preserve_test,ND005
exclude,train,image1075.jpg,visually_confirmed_source_family_leakage_preserve_test,ND027
exclude,train,image1087.jpg,visually_confirmed_source_family_leakage_preserve_test,ND028
exclude,train,image1097.jpg,visually_confirmed_source_family_leakage_preserve_test,ND006
exclude,train,image120.jpg,visually_confirmed_source_family_leakage_preserve_test,ND007
exclude,train,image123.jpg,visually_confirmed_source_family_leakage_preserve_test,ND029
exclude,train,image193.jpg,visually_confirmed_source_family_leakage_preserve_test,ND031;ND032
exclude,train,image20.jpg,visually_confirmed_source_family_leakage_preserve_test,ND033
exclude,train,image24.jpg,visually_confirmed_source_family_leakage_preserve_test,ND034;ND035
exclude,train,image247.jpg,visually_confirmed_source_family_leakage_preserve_test,ND008
exclude,train,image279.jpg,visually_confirmed_source_family_leakage_preserve_test,ND036;ND037
exclude,train,image290.jpg,visually_confirmed_source_family_leakage_preserve_test,ND038;ND039;ND040
exclude,train,image301.jpg,visually_confirmed_source_family_leakage_preserve_test,ND009
exclude,train,image33.jpg,visually_confirmed_source_family_leakage_preserve_test,ND010
exclude,train,image332.jpg,visually_confirmed_source_family_leakage_preserve_test,ND041
exclude,train,image36.jpg,visually_confirmed_source_family_leakage_preserve_test,ND011
exclude,train,image376.jpg,visually_confirmed_source_family_leakage_preserve_test,ND042;ND043
exclude,train,image397.jpg,visually_confirmed_source_family_leakage_preserve_test,ND012
exclude,train,image42.jpg,visually_confirmed_source_family_leakage_preserve_test,ND044;ND045
exclude,train,image429.jpg,visually_confirmed_source_family_leakage_preserve_test,ND046
exclude,train,image47.jpg,visually_confirmed_source_family_leakage_preserve_test,ND013
exclude,train,image52.jpg,visually_confirmed_source_family_leakage_preserve_test,ND014
exclude,train,image54.jpg,visually_confirmed_source_family_leakage_preserve_test,ND047;ND048
exclude,train,image56.jpg,visually_confirmed_source_family_leakage_preserve_test,ND049;ND050
exclude,train,image59.jpg,visually_confirmed_source_family_leakage_preserve_test,ND051
exclude,train,image61.jpg,visually_confirmed_source_family_leakage_preserve_test,ND052
exclude,train,image68.jpg,visually_confirmed_source_family_leakage_preserve_test,ND053;ND054
exclude,train,image7.jpg,visually_confirmed_source_family_leakage_preserve_test,ND016
exclude,train,image71.jpg,visually_confirmed_source_family_leakage_preserve_test,ND017;ND055
exclude,train,image713.jpg,visually_confirmed_source_family_leakage_preserve_test,ND056
exclude,train,image73.jpg,visually_confirmed_source_family_leakage_preserve_test,ND018;ND057;ND058;ND059
exclude,train,image731.jpg,visually_confirmed_source_family_leakage_preserve_test,ND019
exclude,train,image76.jpg,visually_confirmed_source_family_leakage_preserve_test,ND060;ND061;ND062
exclude,train,image78.jpg,visually_confirmed_source_family_leakage_preserve_test,ND063;ND064
exclude,train,image79.jpg,visually_confirmed_source_family_leakage_preserve_test,ND065
exclude,train,image82.jpg,visually_confirmed_source_family_leakage_preserve_test,ND066;ND067
exclude,train,image833.jpg,visually_confirmed_source_family_leakage_preserve_test,ND068
exclude,train,image888.jpg,visually_confirmed_source_family_leakage_preserve_test,ND020
exclude,train,image911.jpg,visually_confirmed_source_family_leakage_preserve_test,ND069
exclude,train,image925.jpg,visually_confirmed_source_family_leakage_preserve_test,ND070
exclude,train,image926.jpg,visually_confirmed_source_family_leakage_preserve_test,ND071
exclude,train,image928.jpg,visually_confirmed_source_family_leakage_preserve_test,ND072
exclude,train,image941.jpg,visually_confirmed_source_family_leakage_preserve_test,ND021
exclude,train,image960.jpg,visually_confirmed_source_family_leakage_preserve_test,ND073
exclude,train,image97.jpg,visually_confirmed_source_family_leakage_preserve_test,ND074
exclude,train,image990.jpg,visually_confirmed_source_family_leakage_preserve_test,ND075
exclude,train,image991.jpg,visually_confirmed_source_family_leakage_preserve_test,ND076
exclude,val,image1010.jpg,visually_confirmed_source_family_leakage_preserve_test,ND001
exclude,val,image1049.jpg,visually_confirmed_source_family_leakage_preserve_test,ND002;ND003;ND004
exclude,val,image1072.jpg,visually_confirmed_source_family_leakage_preserve_test,ND005
exclude,val,image1096.jpg,visually_confirmed_source_family_leakage_preserve_test,ND006
exclude,val,image12.jpg,visually_confirmed_source_family_leakage_preserve_test,ND008;ND016
exclude,val,image31.jpg,visually_confirmed_source_family_leakage_preserve_test,ND007;ND009;ND010;ND011;ND012;ND013;ND014;ND017;ND018
exclude,val,image670.jpg,visually_confirmed_source_family_leakage_preserve_test,ND019
exclude,val,image885.jpg,visually_confirmed_source_family_leakage_preserve_test,ND020
exclude,val,image942.jpg,visually_confirmed_source_family_leakage_preserve_test,ND021
