component_id,split,file,target_split,action,reason
1,test,images25_jpg.rf.8822ab47e5f014360e918bd11ace7a3f.jpg,test,retain,confirmed_visual_leakage
1,train,10-kv165-kavsun-brown-original-imagafu3jwrkxact2_jpeg.rf.9724202e76cdfef627aeb84326df9507.jpg,test,exclude,confirmed_visual_leakage
1,valid,images13_jpg.rf.2516eaa718776e818bdea2f133cf9906.jpg,test,exclude,confirmed_visual_leakage
2,train,IMG-20250416-WA0079_jpg.rf.88ef21cd7c5b35aa50517ad2e772f814.jpg,valid,exclude,confirmed_visual_leakage
2,valid,IMG-20250416-WA0026_jpg.rf.a3294f67d828b9a7fd892bc2820063c9.jpg,valid,retain,confirmed_visual_leakage
3,test,Sapi-7_mp4-102_jpg.rf.1db71d3459e58eb80c960083e498af0a.jpg,test,retain,cross_split_video_group:Sapi-7_mp4
3,test,Sapi-7_mp4-151_jpg.rf.f046f1acc570c167b249fc43eeebdff9.jpg,test,retain,confirmed_visual_leakage;cross_split_video_group:Sapi-7_mp4
3,train,Sapi-7_mp4-125_jpg.rf.45b9fb4c0b28b75f525cf1ddbeeedb81.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
3,train,Sapi-7_mp4-152_jpg.rf.98d883b04e76a397b12410c2b787c9a0.jpg,test,exclude,confirmed_visual_leakage;cross_split_video_group:Sapi-7_mp4
3,train,Sapi-7_mp4-167_jpg.rf.3cf887817fe432bd69146e3a75927d91.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
3,train,Sapi-7_mp4-224_jpg.rf.d1128e2e2fac7896124b615e58a6a7fe.jpg,test,exclude,confirmed_visual_leakage;cross_split_video_group:Sapi-7_mp4
3,train,Sapi-7_mp4-41_jpg.rf.8d868f4cd664a64b82cf4de5988eb896.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
3,valid,Sapi-7_mp4-111_jpg.rf.9aa24a1dbcd8ba578751c35c131f741f.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
3,valid,Sapi-7_mp4-223_jpg.rf.e56597f0fc4a7912cf86e827bf0231ef.jpg,test,exclude,confirmed_visual_leakage;cross_split_video_group:Sapi-7_mp4
3,valid,Sapi-7_mp4-42_jpg.rf.27aa9e0fdc1821052be9deae7ffa6b83.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
3,valid,Sapi-7_mp4-60_jpg.rf.581536655290341fa8e8f4b0c61d5d59.jpg,test,exclude,cross_split_video_group:Sapi-7_mp4
4,train,TimePhoto_-_-_jpg.rf.bfbcc836bfcf9bf391474bb6dba9bc17.jpg,valid,exclude,confirmed_visual_leakage
4,valid,TimePhoto_-_-_jpg.rf.c3fb1444c724e16bac8803a84cd023d9.jpg,valid,retain,confirmed_visual_leakage
5,train,fridolin_25_jpg.rf.90da60e188a5100d8f1cfb9dbc110c0e.jpg,valid,exclude,confirmed_visual_leakage
5,valid,fridolin_23_jpg.rf.c01211d8fcfcac8f6dcde48472608261.jpg,valid,retain,confirmed_visual_leakage
6,train,gettyimages-173233703-612x612_jpg.rf.307af43ab93fd361a0b4c5ce91c1994b.jpg,valid,exclude,confirmed_visual_leakage
6,valid,image_314_jpg.rf.3dd2041db925c63368652268adf41fd0.jpg,valid,retain,confirmed_visual_leakage
7,train,h2_jpg.rf.9700391eaffd3f10e7d655d81e6b4d0d.jpg,valid,exclude,confirmed_visual_leakage
7,valid,h20_jpg.rf.dbb5576ec2bba16b3cc7bbd3566f74b1.jpg,valid,retain,confirmed_visual_leakage
8,train,h34_jpg.rf.17252d6d03da83e8295613409737644d.jpg,valid,exclude,conservative_uncertain_source_family
8,train,h36_jpg.rf.ab514f2642b416553656b614c4df8c3f.jpg,valid,exclude,conservative_uncertain_source_family
8,valid,h39_jpg.rf.6e13400ac95f34974bdcffed5c7076bc.jpg,valid,retain,conservative_uncertain_source_family
9,test,h51_jpg.rf.9d1530a6c38fa6c5ba0ad5445799b351.jpg,test,retain,conservative_uncertain_source_family
9,train,h46_jpg.rf.d9b99e16ce981a94775b452394f23723.jpg,test,exclude,conservative_uncertain_source_family
9,valid,h54_jpg.rf.63125a35463f410743154ed4e6cdc0e3.jpg,test,exclude,conservative_uncertain_source_family
10,train,image_153_jpg.rf.ec39e768df491b942ebabd9374682dab.jpg,valid,exclude,confirmed_visual_leakage
10,valid,image_153-1-_jpg.rf.7b1ae44805b6563b108c5dc606fa1e5c.jpg,valid,retain,confirmed_visual_leakage
11,train,image_719_jpg.rf.f4bc952315c7b28605c7cc66ed6d5bed.jpg,valid,exclude,confirmed_visual_leakage
11,valid,Safety-Glasses-Toolbox-Talk_jpg.rf.c372e1b2f5dc62c25afd60314e91223a.jpg,valid,retain,confirmed_visual_leakage
12,train,image_798_jpg.rf.890bde43958d83e8d76f8b0bbf7bd33c.jpg,valid,exclude,confirmed_visual_leakage
12,valid,construction-worker-wearing-safety-equipment-19672694_jpg.rf.bd25d03c369a821421676edd6e2b5a16.jpg,valid,retain,confirmed_visual_leakage
